Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
PER407-4B,PER 407- 4B,10.18730/PBHZR,"3990, BRA-085979",,Manihot,peruviana,,,Wild,0,Brazil,Mato Grosso,,,24-05-1992,,-15.3333,-59.2,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER407-4D,PER 407- 4D,10.18730/P92K0,"3990, BRA-085979",,Manihot,peruviana,,,Wild,0,Brazil,Mato Grosso,,,24-05-1992,,-15.3333,-59.2,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER407-4F,PER 407- 4F,10.18730/PARBJ,"3990, BRA-085979",,Manihot,peruviana,,,Wild,0,Brazil,Mato Grosso,,,24-05-1992,,-15.3333,-59.2,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER411-4B,PER 411- 4B,10.18730/PARCK,"3996, BRA-086011",,Manihot,peruviana,,,Wild,0,Brazil,Mato Grosso,,,25-05-1992,,-14.1833,-59.7,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER411-4H,PER 411- 4H,10.18730/PARDM,"3996, BRA-086011",,Manihot,peruviana,,,Wild,0,Brazil,Mato Grosso,,,25-05-1992,,-14.1833,-59.7,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER412-4D,PER 412- 4D,10.18730/PARGQ,"4004, BRA-086029",,Manihot,peruviana,,,Wild,0,Brazil,Rondonia,,,26-05-1992,,-11.3667,61.7,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER415-3B,PER 415- 3B,10.18730/PBJ5Y,,,Manihot,peruviana,,,Wild,0,,Rondonia,,,29-05-1992,,-9.9167,-65.3,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
IND70,IND 70,10.18730/PBJ6Z,,Sampe Roti,Manihot,esculenta,,,Landrace,0,Indonesia,Java,Lebak/Cijulang,,,,,,,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,13-04-2005,,,,,,,,,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
IND76,IND 76,10.18730/PBJ7*,,Simbiri,Manihot,esculenta,,,Landrace,0,Indonesia,,Tapanuli,,,,,,,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,13-04-2005,,,,,,,,,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
IND82,IND 82,10.18730/P92S6,,Lamme Kayu Didi I,Manihot,esculenta,,,Landrace,0,Indonesia,,Minahasa Sulut,,,,,,,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,13-04-2005,,,,,,,,,,,,,,,,,,,,,,91,96,,Cesar Humberto Ocampo Nahar
