Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
IND87,IND 87,10.18730/PBJ8~,,Rayong,Manihot,esculenta,,,Landrace,0,Indonesia,,Lampung,,,,,,,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,13-04-2005,,,,,,,,,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
IND105,IND 105,10.18730/PDZNZ,,Lampung,Manihot,esculenta,,,Landrace,0,Indonesia,Java,Kebumen,,,,,,,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,23-08-2005,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
IND129,IND 129,10.18730/P92ZC,,Jrapah,Manihot,esculenta,,,Landrace,0,Indonesia,,Gunung Kidul,,,,,,,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,23-08-2005,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
ARG120,ARG 120,10.18730/PBJD1,76B,,Manihot,esculenta,,,Landrace,0,Argentina,,,,,,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,Argentina,,08-04-1994,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BOL4,BOL 4,10.18730/PD4TQ,CH BOL 08,,Manihot,esculenta,,,Landrace,0,Bolivia,Chapare,,,,,,,,UNIVERSIDAD AUTONOMA GABRIEL RENE MORENO,Bolivia,,20-09-1995,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA451-3,FLA 451- 3,10.18730/P9YD2,,,Manihot,esculenta,flabellifolia,,Wild,0,,Mato Grosso,Pontes E Lacerda,,08-06-1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
SM1495-5,SM 1495- 5,10.18730/P89GB,,,Manihot,esculenta,,,Improved-Line,0,Colombia,Cauca,,,,,,,,,,,12-06-2007,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
IND139,IND 139,10.18730/PE027,APUY,Apuy,Manihot,esculenta,,,Landrace,0,Indonesia,,,,,,,,Ciatcas-0619,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,07-01-2009,,,,,,,,,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
IND160,IND 160,10.18730/P89RK,BIC 335,Bic 335,Manihot,esculenta,,,Landrace,0,Indonesia,,,,,,,,Ciatcas-0619,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,07-01-2009,,,,,,,,,,,,,,,,,,,,,,91,96,,Cesar Humberto Ocampo Nahar
IND176,IND 176,10.18730/P89WQ,BIC 426,Bic 426,Manihot,esculenta,,,Landrace,0,Indonesia,,,,,,,,Ciatcas-0619,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,07-01-2009,,,,,,,,,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
IND177,IND 177,10.18730/P93FW,BIC 430,Bic 430,Manihot,esculenta,,,Landrace,0,Indonesia,,,,,,,,Ciatcas-0619,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,07-01-2009,,,,,,,,,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
IND184,IND 184,10.18730/P93HY,CIMANGGU -4,Cimanggu -4,Manihot,esculenta,,,Landrace,0,Indonesia,,,,,,,,Ciatcas-0619,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,07-01-2009,,,,,,,,,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
IND202,IND 202,10.18730/P8A1W,KEBUMEN-1,Kebumen-1,Manihot,esculenta,,,Landrace,0,Indonesia,,,,,,,,Ciatcas-0619,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,07-01-2009,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
IND205,IND 205,10.18730/PE0AF,KETAN- 1,Ketan- 1,Manihot,esculenta,,,Landrace,0,Indonesia,,,,,,,,Ciatcas-0619,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,07-01-2009,,,,,,,,,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
IND209,IND 209,10.18730/PD580,MALEKA,Maleka,Manihot,esculenta,,,Landrace,0,Indonesia,,,,,,,,Ciatcas-0619,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,07-01-2009,,,,,,,,,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
IND11,IND 11,10.18730/PAEZE,"UJF 26, X 396",X 396,Manihot,esculenta,,,Landrace,1,Indonesia,Java,Bogor,,,,-6.5667,106.75,Ciatcas-0619,CENTRAL RESEARCH INSTITUTE FOR FOOD CROPS,Indonesia,,10-03-1986,,185,Absent,Lanceolate,,,,White,32.02,229,3.82,21.59,33.8,65.05,970,272,4.11,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
CM962-4,CM 962- 4,10.18730/PDNYG,CM 962- 4,,Manihot,esculenta,,,Improved-Line ( CM 309- 93xPAN 70),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,170,Present,Lanceolate,Red With Little Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
GUA70,GUA 70,10.18730/PDP0J,745,Yuca Cubana,Manihot,esculenta,,,Landrace,0,Guatemala,Izabal,Morales,Tenedores Kms: 2,18-11-1983,25,15.55,-88.6333,Ciatcas-0120,INSTITUTO DE CIENCIA Y TECNOLOGIA AGROPECUARIA,Guatemala,,09-09-1984,,215,Present,Pandurate,,,,White,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
GUA46,GUA 46,10.18730/PCT4E,527,Yuca Crema,Manihot,esculenta,,,Landrace,0,Guatemala,Peten,La Libertad,Nvo Leon-Las Crz Kms: 2,16-08-1983,140,16.6667,-90.2667,Ciatcas-0120,INSTITUTO DE CIENCIA Y TECNOLOGIA AGROPECUARIA,Guatemala,,09-09-1984,,190,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
ECU161,ECU 161,10.18730/PB973,161,Blanca,Manihot,esculenta,,,Landrace,0,Ecuador,El Oro,Machala,Guarumal,18-05-1971,10,-3.3333,-79.9667,,,,"Victor Hugo Santillan C., Victor Manuel Patino",18-05-1971,,215,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
FJI5,FJI 5,10.18730/PCTCP,"X2,D32&2 UNCOD",New Guinea,Manihot,esculenta,,,Landrace,0,Fiji,Viti Levu,Suva,,,,-18.1333,178.4167,Ciatcas-0113,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,Fiji,,01-04-1987,,255,Present,Elliptic-Lanceolate,Red,Dark Green,Seven Lobes,White,35.55,158,2.5,23.98,30.8,67.95,642,119,3.49,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
ECU104,ECU 104,10.18730/P9M57,104,,Manihot,esculenta,,,Landrace,1,Ecuador,Tungurahua,Ba#Os,,08-03-1970,1200,-1.3833,-78.4167,,,,"Betancourt, Victor Manuel Patino",08-03-1970,,255,Absent,Elliptic-Lanceolate,Green With Little Red,Dark Green,Seven Lobes,White,30.17,50,1.5,22.61,50.6,64.5,865,374,2.31,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
ECU64,ECU 64,10.18730/PCTS=,064,,Manihot,esculenta,,,Landrace,0,Ecuador,El Oro,Zaruma,,04-03-1970,600,-3.7667,-79.6167,,,,"Betancourt, Victor Manuel Patino",04-03-1970,,270,Present,Elliptic-Lanceolate,,,,White,36.3,43,1.6,22.1,53.1,63.7,1122,561,1.83,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
ECU19,ECU 19,10.18730/P8SJ7,019,Amarilla,Manihot,esculenta,,,Landrace,0,Ecuador,Esmeraldas,Quininde,La Angostura,26-02-1970,200,-0.3167,-79.4667,,,,"Betancourt, Victor Manuel Patino",26-02-1970,,,,,,,,,40.17,68,1.9,23.34,57.2,66.8,1023,501,2.18,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
PAR80,PAR 80,10.18730/PADM8,M 150,Perigosa,Manihot,esculenta,,,Landrace,0,Paraguay,Alto Parana,Naranjal,Ruta 7 Km 30 Kms: 57,12-04-1983,200,-22.0167,-56.0667,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"Luis Caceres Alvarez, Mario Sanabria L.",01-11-1983,Tree,155,Present,Elliptic-Lanceolate,,,,White,32.9,613,3.67,21.3,56.7,63.0,1103,532,2.57,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PAR73,PAR 73,10.18730/P7YN$,"140, M 140",Rubito,Manihot,esculenta,,,Landrace,0,Paraguay,Paraguari,Yaguaron,Curupayty Kms: 3,07-04-1983,150,-25.5167,-57.25,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"Luis Caceres Alvarez, Mario Sanabria L.",01-11-1983,Bush,165,Present,Elliptic-Lanceolate,,,,White,31.91,1639,4.02,18.36,60.2,67.5,790,361,2.12,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PAR62,PAR 62,10.18730/PBZHE,"116, M 116",Puerto Rico,Manihot,esculenta,,,Landrace,0,Paraguay,Itapua,Capitan Miranda,,19-03-1983,,-27.2,-55.7833,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"Alvaro Amaya, J. Gerardo Vieira, Luis Caceres Alvarez, Mario Sanabria L.",01-11-1983,Bush,165,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
PAR57,PAR 57,10.18730/PADTE,"110, M 110",Tapoyoa Pyta,Manihot,esculenta,,,Landrace,1,Paraguay,Itapua,Capitan Miranda,Cria Kms: 12,19-03-1983,,-27.2,-55.7833,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"Alvaro Amaya, J. Gerardo Vieira, Luis Caceres Alvarez, Mario Sanabria L.",01-11-1983,Bush,165,Present,Lanceolate,,,,White,43.17,15,1.23,19.26,35.0,64.55,791,411,2.67,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PAR48,PAR 48,10.18730/PADVF,"093, M 093",Tucu O Clavel,Manihot,esculenta,,,Landrace,0,Paraguay,Paraguari,Caapucu,Caapuco Kms: 4,17-03-1983,,-26.2,-57.15,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"Alvaro Amaya, J. Gerardo Vieira, Luis Caceres Alvarez, Mario Sanabria L.",01-11-1983,Bush,165,Present,Obovate-Lanceolate,,,,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
BRA1376,BRA 1376,10.18730/PAWXG,"3148, BGM 1048, BRA-072877",Vermelinha,Manihot,esculenta,,,Landrace,0,Brazil,Ceara,Tiangua,Km 05 Br 222,,775,-3.7167,-40.9833,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,"Werneck, Antonio C. Allem",21-05-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1233,BRA 1233,10.18730/PD8V4,"BGM 0504, BRA-013081",Cigana Preta,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,11-09-1991,,,,,,,,,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
BRA1095,BRA 1095,10.18730/P7MB0,"BGM 0613, BRA-056529",Tapicinea,Manihot,esculenta,,,Landrace,0,Brazil,Ceara,Pacajus,,,73,-4.1667,-38.45,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,31.36,590,2.78,,49.1,65.15,611,228,3.1,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA120,BRA 120,10.18730/P7MD2,"BGM 0262, BRA-007269","Pao, Pao (Aipim)",Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Ipira,Serra Preta,,328,-12.15,-39.7333,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,13-10-1980,,230,Present,Elliptic-Lanceolate,,,,White,25.55,377,3.3,21.64,45.0,65.4,767,278,2.64,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
BRA1074,BRA 1074,10.18730/PD93C,"BGM 0406, BRA-009563",Unha,Manihot,esculenta,,,Landrace,0,Brazil,Espiritu Santo,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,Absent,Straight or Linear,Red With Little Green,Dark Green,Five Lobes,,35.65,643,1.76,20.18,44.6,65.55,551,200,1.96,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
CTHXXX-48,CTH XXX- 48,10.18730/P8DGW,,,Manihot,carthaginensis,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1022,BRA 1022,10.18730/P8DHX,"BGM 0838, BRA-058661",Roxinha Guaiana,Manihot,esculenta,,,Landrace,0,Brazil,Sergipe,Pedrinhas,,,165,-11.1833,-37.6667,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,24-04-1991,,,,,,,,,29.54,497,1.8,22.3,51.4,66.5,339,270,1.5,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA938,BRA 938,10.18730/P98C0,"BGM 0039, BRA-006742",Cidade Branca,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Cruz Das Almas,,,220,-12.6667,-39.1,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,24-04-1991,,,,,,,,,32.95,582,3.1,19.67,21.5,69.2,602,205,2.18,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA299,BRA 299,10.18730/PA2SZ,"BGM 0392, BRA-012840",Branquinha Negamin,Manihot,esculenta,,,Landrace,1,Brazil,Espiritu Santo,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-08-1981,,245,Absent,Elliptic-Lanceolate,,,,White,30.85,403,4.3,18.72,56.0,64.6,669,243,3.23,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
BRA1086,BRA 1086,10.18730/P7MH6,"BGM 0539, BRA-013242",Manoel Graveto,Manihot,esculenta,,,Landrace,0,Brazil,Pernambuco,Vitoria De Santo Antao,,,156,-8.1167,-35.2833,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1127,BRA 1127,10.18730/PA2T*,"BGM 0722, BRA-057771",X - 9,Manihot,esculenta,,,Landrace,0,Brazil,Acre,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,33.16,189,5.0,18.87,31.75,66.6,803,356,2.57,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA1050,BRA 1050,10.18730/P8DJY,"BGM 0103, BRA-006645",Jacumoa,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Cruz Das Almas,,,220,-12.6667,-39.1,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA159,BRA 159,10.18730/PBPHP,"BGM 0153, BRA-006777",Platina Preta,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Cruz Das Almas,,,220,-12.6667,-39.1,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,13-10-1980,,220,Present,Oblong-Lanceolate,Red,Dark Green,Seven Lobes,White,27.25,731,5.35,20.62,47.2,66.75,752,296,2.22,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
BRA235,BRA 235,10.18730/PBPJQ,"BGM 0555, BRA-004081",Isabel De Souza,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-08-1981,,180,Absent,Elliptic-Lanceolate,Green With Little Red,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
BRA1416,BRA 1416,10.18730/P98H5,"BGM 0792, BRA-057193",Caixao I,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Eunapolis,,,189,-16.3667,-39.5667,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,19-10-1993,,,Present,Ovoid,Red With Little Green,Dark Green,Five Lobes,,31.1,325,4.91,20.21,53.9,67.75,659,231,2.74,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
BRA132,BRA 132,10.18730/PAX0K,"BGM 0186, BRA-006670",Mendubi,Manihot,esculenta,,,Landrace,1,Brazil,Bahia,Cruz Das Almas,,,220,-12.6667,-39.1,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,13-10-1980,,180,Absent,Lanceolate,,,,White,31.19,1411,2.4,19.89,53.9,66.65,814,251,3.55,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA1341,BRA 1341,10.18730/P8DP$,"BGM 0525, BRA-013013",Cravo,Manihot,esculenta,,,Landrace,0,Brazil,Minas Gerais,Tombos,,,273,-20.9,-42.0167,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,21-05-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA174,BRA 174,10.18730/PCFMB,"BGM 0152, BRA-006696",Peru Branca,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Sao Felipe,,,195,-12.8333,-39.0833,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,13-10-1980,,195,Absent,Lanceolate,,,,White,28.24,201,2.0,20.26,48.2,65.1,767,231,3.29,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA1335,BRA 1335,10.18730/P98J6,"BGM 0360, BRA-012998, CM 344- 11",Cm 344- 11,Manihot,esculenta,,,Improved-Line,0,Colombia,Valle Del Cauca,Cali,Ciat,,915,3.4333,-77.5,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,21-05-1992,,,,,,,,,33.98,75,3.6,20.57,56.4,60.35,1015,435,2.64,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
FLAXXX-52,FLA XXX- 52,10.18730/P8DS0,,,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,,,,,,,,,,,,,,,,,,,,,28.22,141,3.6,20.13,52.5,64.95,850,397,1.79,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
FLAXXX-80,FLA XXX- 80,10.18730/P8DT1,,,Manihot,esculenta,flabellifolia,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA1133,BRA 1133,10.18730/P8DV2,"BGM 0491, BRA-002348",Veada I,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,30.05,380,2.63,21.93,47.9,66.25,622,274,1.96,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA85,BRA 85,10.18730/PA389,BRA-007196,Aipim Manteica,Manihot,esculenta,,,Landrace,1,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,13-10-1980,,245,Absent,Elliptic-Lanceolate,,,,Yellow,28.88,101,7.1,20.91,26.5,67.2,790,230,3.81,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
BRA77,BRA 77,10.18730/PAX5R,"BGM 0218, BRA-009687",Roxinha I,Manihot,esculenta,,,Landrace,1,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,13-10-1980,,310,Absent,Linear-Pyramid,,,,White,24.3,2044,3.5,21.57,62.7,65.35,672,351,3.1,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
BRA312,BRA 312,10.18730/PCFPD,"BGM 1187, BRA-001309",Hamburguesa,Manihot,esculenta,,,Landrace,0,Brazil,Para,Belem,,,10,-1.45,-48.5,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-09-1982,,225,Absent,Elliptic-Lanceolate,,,,White,41.47,40,2.14,17.8,43.4,62.3,883,358,4.03,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA1442,BRA 1442,10.18730/PBPQW,"BGM 0660, BRA-058262",Pacifica Pato,Manihot,esculenta,,,Landrace,0,Brazil,Maranhao,Moncao,,,14,-3.4833,-45.25,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,12-10-1993,,,Present,Lanceolate,Red,Dark Green,Five Lobes,,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
COL2166,COL 2166,10.18730/PCXB6,"117, COL 2166",Uyeusi,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,El Encanto,El Encanto Kms: 1,22-11-1979,,-1.6,-73.3167,,,,Alvaro Amaya,22-11-1979,,215,Present,Lanceolate,,,,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
COL2156,COL 2156,10.18730/PDSAD,"107, COL 2156",Yuca Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,Tarapaca,El Ventura Kms: 6,21-11-1979,,-2.8667,-69.8167,,,,Alvaro Amaya,21-11-1979,,305,Present,Obovate-Lanceolate,,,,White,28.05,99,4.5,22.91,44.6,66.85,762,302,3.03,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL2159,COL 2159,10.18730/P8WBP,"110, COL 2159",Detama,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,Tarapaca,El Ventura Kms: 6,21-11-1979,,-2.8667,-69.8167,,,,Alvaro Amaya,21-11-1979,,,,,,,,,32.31,68,3.45,21.28,36.7,64.45,943,383,2.9,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
COL2132,COL 2132,10.18730/P9PVK,"079, COL 2132",Sanji (5),Manihot,esculenta,,,Landrace,0,Peru,Loreto,El Sol,Raymundo Correo,19-11-1979,,-3.75,-70.25,,,,"Alvaro Amaya, Clair H. Hershey, Pablo Emilio Daza",19-11-1979,,230,Absent,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
COL2120,COL 2120,10.18730/PDSEH,"64, COL 2120",Hojita Larguita,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,San Juan De Atacuari,Kms: 120,18-11-1979,,-3.7833,-70.7333,,,,"Alvaro Amaya, Clair H. Hershey, Pablo Emilio Daza",18-11-1979,,195,Present,Elliptic-Lanceolate,,,,White,41.98,92,0.94,20.57,38.5,63.9,816,265,2.97,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
